0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:25 +0900] "GET /HotelManagementSystem/home.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:25 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:25 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /HotelManagementSystem/home.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /HotelManagementSystem/home.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /HotelManagementSystem/home.jsp HTTP/1.1" 200 2279
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:31:26 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:34:16 +0900] "GET /HotelManagementSystem/home.jsp HTTP/1.1" 200 2264
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:34:16 +0900] "GET /js/jquery.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:34:16 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:34:50 +0900] "GET /HotelManagementSystem/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Sep/2022:17:34:51 +0900] "GET /HotelManagementSystem/adminLogin.jsp HTTP/1.1" 200 3093
